Run	selection_group	selection_rank	selection_reason	spots	LibraryStrategy	LibraryLayout	Platform	Model	BioProject	frac_strict_total	frac_inclusive_total	frac_multi_total	decision_one_threshold	decision_framework	reclassified
SRR22479178	low_control	2	Low strict/ambiguity controls matched where possible by BioProject, layout, strategy, and log10(spots).	4590131	RAD-Seq	SINGLE	ILLUMINA	Illumina NovaSeq 6000	PRJNA907022	0.0101589693191762	0.0116136118990939	0.0014546425799176	Retain	Retain	False
SRR22479657	low_control	3	Low strict/ambiguity controls matched where possible by BioProject, layout, strategy, and log10(spots).	949028	RAD-Seq	SINGLE	ILLUMINA	Illumina NovaSeq 6000	PRJNA907022	0.0046710950572585	0.005569909423115	0.0008988143658564	Retain	Retain	False
SRR22508861	low_control	4	Low strict/ambiguity controls matched where possible by BioProject, layout, strategy, and log10(spots).	2429184	RAD-Seq	SINGLE	ILLUMINA	Illumina NovaSeq 6000	PRJNA907022	0.0123951088102012	0.0148453143113078	0.0024502055011065	Retain	Retain	False
SRR22508691	low_control	5	Low strict/ambiguity controls matched where possible by BioProject, layout, strategy, and log10(spots).	3187681	RAD-Seq	SINGLE	ILLUMINA	Illumina NovaSeq 6000	PRJNA907022	0.0069872110791512	0.0088484387239501	0.0018612276447988	Retain	Retain	False
SRR22479074	low_control	6	Low strict/ambiguity controls matched where possible by BioProject, layout, strategy, and log10(spots).	3175597	RAD-Seq	SINGLE	ILLUMINA	Illumina NovaSeq 6000	PRJNA907022	0.0112885860516935	0.0134311753034153	0.0021425892517218	Retain	Retain	False
SRR2050377	prjna285775_sbfI_rad_contrast	1	SbfI RAD-seq contrast runs from PRJNA285775; relabeled after publication-based correction of the archive-derived WGS strategy field. The selected run set is unchanged.	1837209	RAD-Seq	PAIRED	ILLUMINA	Illumina HiSeq 2000	PRJNA285775	0.0178929016785787	0.040005791393358	0.0221128897147793	Retain	Sensitivity analysis	True
SRR2050366	prjna285775_sbfI_rad_contrast	2	SbfI RAD-seq contrast runs from PRJNA285775; relabeled after publication-based correction of the archive-derived WGS strategy field. The selected run set is unchanged.	5459684	RAD-Seq	PAIRED	ILLUMINA	Illumina HiSeq 2000	PRJNA285775	0.017791689042809	0.0410730730936076	0.0232813840507985	Retain	Sensitivity analysis	True
SRR2050376	prjna285775_sbfI_rad_contrast	3	SbfI RAD-seq contrast runs from PRJNA285775; relabeled after publication-based correction of the archive-derived WGS strategy field. The selected run set is unchanged.	1178614	RAD-Seq	PAIRED	ILLUMINA	Illumina HiSeq 2000	PRJNA285775	0.0175994854973723	0.0402727271184628	0.0226732416210905	Retain	Sensitivity analysis	True
SRR2050374	prjna285775_sbfI_rad_contrast	4	SbfI RAD-seq contrast runs from PRJNA285775; relabeled after publication-based correction of the archive-derived WGS strategy field. The selected run set is unchanged.	1391182	RAD-Seq	PAIRED	ILLUMINA	Illumina HiSeq 2000	PRJNA285775	0.0170897840828877	0.0345713213655725	0.0174815372826847	Retain	Sensitivity analysis	True
SRR2050378	prjna285775_sbfI_rad_contrast	5	SbfI RAD-seq contrast runs from PRJNA285775; relabeled after publication-based correction of the archive-derived WGS strategy field. The selected run set is unchanged.	970102	RAD-Seq	PAIRED	ILLUMINA	Illumina HiSeq 2000	PRJNA285775	0.0168631752125034	0.035157127807179	0.0182939525946756	Retain	Sensitivity analysis	True
SRR2050389	prjna285775_sbfI_rad_contrast	6	SbfI RAD-seq contrast runs from PRJNA285775; relabeled after publication-based correction of the archive-derived WGS strategy field. The selected run set is unchanged.	1437151	RAD-Seq	PAIRED	ILLUMINA	Illumina HiSeq 2000	PRJNA285775	0.0166322119248429	0.0310551918344001	0.0144229799095571	Retain	Sensitivity analysis	True
